feature,importance
sub_grade,0.16988573206122898
term,0.07963561397790947
installment_to_income,0.04468687898852618
fico_avg,0.04274809787239442
dti,0.03734060797334246
loan_amnt,0.0262036223836944
bc_open_to_buy,0.024063077496206293
avg_cur_bal,0.023787793493602556
tot_hi_cred_lim,0.02376973905328839
acc_open_past_24mths,0.022500882158264117
log_tot_cur_bal,0.02001130339598159
total_bc_limit,0.018751602696598785
addr_state,0.01735996867420266
revol_util,0.01734682121582096
open_acc_ratio,0.017309604054396965
mo_sin_old_rev_tl_op,0.017255805580889565
revol_bal_to_income,0.017136466139122602
log_annual_inc,0.01703082660952547
annual_inc,0.016879852691955306
bc_util,0.016706450875581237
total_rev_hi_lim,0.016465916567132484
credit_age_months,0.01566395893500747
revol_bal,0.015053711317441754
log_revol_bal,0.015008930188214234
total_bal_ex_mort,0.014981162964403067
mths_since_recent_inq,0.014688548582064205
mths_since_recent_bc,0.014545680254961897
total_il_high_credit_limit,0.014239087015429074
mo_sin_old_il_acct,0.014079893331291542
total_acc,0.01090159400294841
num_tl_op_past_12m,0.01060819753202831
mo_sin_rcnt_rev_tl_op,0.010501002306417219
mo_sin_rcnt_tl,0.01042788952090434
mort_acc,0.010270543408628879
emp_length,0.01009482398873872
percent_bc_gt_75,0.009905697796188101
num_actv_rev_tl,0.009298857065459862
num_rev_accts,0.008970951296928887
mths_since_last_delinq,0.008801890974800585
num_il_tl,0.00876663784699102
pct_tl_nvr_dlq,0.008313047302959295
open_acc,0.007604190952794852
num_bc_tl,0.0073410434642104325
num_op_rev_tl,0.006708143059061374
num_actv_bc_tl,0.0057542105862605315
num_bc_sats,0.005667299635268234
home_ownership_RENT,0.005634728551634377
mths_since_recent_revol_delinq,0.0054572973098976655
inq_last_6mths,0.005446947204454314
verification_status_Verified,0.004596359445715625
mths_since_recent_bc_dlq,0.0038847954088003516
verification_status_Source Verified,0.002955164946757537
tot_coll_amt,0.0025417340742748987
initial_list_status_w,0.0023091611426676703
purpose_credit_card,0.002010188648422733
purpose_debt_consolidation,0.0020001769724214274
num_accts_ever_120_pd,0.0017507923518109932
delinq_2yrs,0.0015890430065726734
pub_rec,0.0011623611350618142
pub_rec_bankruptcies,0.0007455094142867446
home_ownership_OWN,0.0006954357518848168
purpose_small_business,0.0005255761587361913
purpose_other,0.0003654006036740527
num_tl_90g_dpd_24m,0.000333182319966222
purpose_home_improvement,0.0002977616426177199
application_type_Joint App,0.00023156299645010905
tax_liens,0.00014879111935888834
purpose_major_purchase,7.767008180732181e-05
collections_12_mths_ex_med,6.898573785860449e-05
purpose_medical,4.101079349313544e-05
purpose_moving,3.0769100570980895e-05
purpose_vacation,1.612403203351029e-05
chargeoff_within_12_mths,7.221416531246042e-06
purpose_house,2.5913431710050742e-06
